date,tic,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,change,vni_return,cov_list,return_list
2016-01-08,BID,9.69,9.69,9.19,9.44,1217770,-0.27570259040690637,10.848904778901804,9.613095221098195,35.813863985141296,-292.57738007921296,44.08819690605714,10.303666666666667,11.096833333333333,-2.579979360165119,-0.9392245648790265,"[[6.88340050e-04 2.42881762e-04 1.20362325e-04 3.62456270e-04
  7.13843643e-05]
 [2.42881762e-04 2.36187048e-04 6.87121160e-05 1.81548019e-04
  2.58976903e-05]
 [1.20362325e-04 6.87121160e-05 4.77159845e-04 1.25303285e-04
  6.47425634e-05]
 [3.62456270e-04 1.81548019e-04 1.25303285e-04 5.10544556e-04
  1.28070993e-04]
 [7.13843643e-05 2.58976903e-05 6.47425634e-05 1.28070993e-04
  1.71511739e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-06  0.022222  0.030568  0.000000  0.065032  0.003914
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
...              ...       ...       ...       ...       ...
2016-01-04 -0.019342 -0.036496  0.005708 -0.015933  0.039708
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000

[252 rows x 5 columns]"
2016-01-08,MBB,2.59,2.61,2.57,2.59,646260,-0.013567751393202876,2.6944194815178046,2.581580518482195,43.440046779136495,-215.2406417112288,5.713134951946264,2.6433333333333335,2.6741666666666664,-0.7662835249042099,-0.9392245648790265,"[[6.88340050e-04 2.42881762e-04 1.20362325e-04 3.62456270e-04
  7.13843643e-05]
 [2.42881762e-04 2.36187048e-04 6.87121160e-05 1.81548019e-04
  2.58976903e-05]
 [1.20362325e-04 6.87121160e-05 4.77159845e-04 1.25303285e-04
  6.47425634e-05]
 [3.62456270e-04 1.81548019e-04 1.25303285e-04 5.10544556e-04
  1.28070993e-04]
 [7.13843643e-05 2.58976903e-05 6.47425634e-05 1.28070993e-04
  1.71511739e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-06  0.022222  0.030568  0.000000  0.065032  0.003914
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
...              ...       ...       ...       ...       ...
2016-01-04 -0.019342 -0.036496  0.005708 -0.015933  0.039708
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000

[252 rows x 5 columns]"
2016-01-08,MWG,8.42,8.48,8.14,8.37,97350,0.024936469993628307,9.055026775078957,8.368973224921042,49.079008606391575,-112.09122203098057,33.379197035588504,8.626333333333333,8.449,-1.2971698113207641,-0.9392245648790265,"[[6.88340050e-04 2.42881762e-04 1.20362325e-04 3.62456270e-04
  7.13843643e-05]
 [2.42881762e-04 2.36187048e-04 6.87121160e-05 1.81548019e-04
  2.58976903e-05]
 [1.20362325e-04 6.87121160e-05 4.77159845e-04 1.25303285e-04
  6.47425634e-05]
 [3.62456270e-04 1.81548019e-04 1.25303285e-04 5.10544556e-04
  1.28070993e-04]
 [7.13843643e-05 2.58976903e-05 6.47425634e-05 1.28070993e-04
  1.71511739e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-06  0.022222  0.030568  0.000000  0.065032  0.003914
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
...              ...       ...       ...       ...       ...
2016-01-04 -0.019342 -0.036496  0.005708 -0.015933  0.039708
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000

[252 rows x 5 columns]"
2016-01-08,VCB,12.7,12.79,12.52,12.67,676340,-0.09157188764545587,13.364726841226306,12.305273158773693,45.133422667109755,-51.03075363298332,18.664904555222783,12.789,13.453333333333331,-0.7053291536050166,-0.9392245648790265,"[[6.88340050e-04 2.42881762e-04 1.20362325e-04 3.62456270e-04
  7.13843643e-05]
 [2.42881762e-04 2.36187048e-04 6.87121160e-05 1.81548019e-04
  2.58976903e-05]
 [1.20362325e-04 6.87121160e-05 4.77159845e-04 1.25303285e-04
  6.47425634e-05]
 [3.62456270e-04 1.81548019e-04 1.25303285e-04 5.10544556e-04
  1.28070993e-04]
 [7.13843643e-05 2.58976903e-05 6.47425634e-05 1.28070993e-04
  1.71511739e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-06  0.022222  0.030568  0.000000  0.065032  0.003914
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
...              ...       ...       ...       ...       ...
2016-01-04 -0.019342 -0.036496  0.005708 -0.015933  0.039708
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000

[252 rows x 5 columns]"
2016-01-08,VIC,12.83,12.97,12.7,12.97,1641950,0.38014954883453456,13.338840697050458,10.33115930294954,66.38436179183975,168.8593048447362,51.25363430875033,11.705333333333334,11.800333333333333,0.0,-0.9392245648790265,"[[6.88340050e-04 2.42881762e-04 1.20362325e-04 3.62456270e-04
  7.13843643e-05]
 [2.42881762e-04 2.36187048e-04 6.87121160e-05 1.81548019e-04
  2.58976903e-05]
 [1.20362325e-04 6.87121160e-05 4.77159845e-04 1.25303285e-04
  6.47425634e-05]
 [3.62456270e-04 1.81548019e-04 1.25303285e-04 5.10544556e-04
  1.28070993e-04]
 [7.13843643e-05 2.58976903e-05 6.47425634e-05 1.28070993e-04
  1.71511739e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-06  0.022222  0.030568  0.000000  0.065032  0.003914
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
...              ...       ...       ...       ...       ...
2016-01-04 -0.019342 -0.036496  0.005708 -0.015933  0.039708
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000

[252 rows x 5 columns]"
2016-01-11,BID,9.54,9.69,9.49,9.54,902550,-0.2976165634990444,10.89267265425192,9.51432734574808,37.1034532725232,-221.93436960276378,44.08819690605714,10.264999999999999,11.050833333333333,1.0593220338982912,-0.38925095973573187,"[[6.87025239e-04 2.40212505e-04 1.19867639e-04 3.57096797e-04
  7.13262042e-05]
 [2.40212505e-04 2.32863621e-04 6.91297263e-05 1.74197828e-04
  2.53844351e-05]
 [1.19867639e-04 6.91297263e-05 4.77938523e-04 1.25682255e-04
  6.44525382e-05]
 [3.57096797e-04 1.74197828e-04 1.25682255e-04 4.94645529e-04
  1.27168168e-04]
 [7.13262042e-05 2.53844351e-05 6.44525382e-05 1.27168168e-04
  1.71583690e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
2015-01-13  0.058405  0.020000  0.044807 -0.005489 -0.004921
...              ...       ...       ...       ...       ...
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000
2016-01-11  0.010593 -0.007722 -0.014337 -0.007103  0.006168

[252 rows x 5 columns]"
2016-01-11,MBB,2.59,2.61,2.57,2.57,420860,-0.017551694569234666,2.6990723275517277,2.570927672448272,42.08850133169246,-229.72972972972744,5.713134951946261,2.6396666666666664,2.6710000000000003,-0.7722007722007707,-0.38925095973573187,"[[6.87025239e-04 2.40212505e-04 1.19867639e-04 3.57096797e-04
  7.13262042e-05]
 [2.40212505e-04 2.32863621e-04 6.91297263e-05 1.74197828e-04
  2.53844351e-05]
 [1.19867639e-04 6.91297263e-05 4.77938523e-04 1.25682255e-04
  6.44525382e-05]
 [3.57096797e-04 1.74197828e-04 1.25682255e-04 4.94645529e-04
  1.27168168e-04]
 [7.13262042e-05 2.53844351e-05 6.44525382e-05 1.27168168e-04
  1.71583690e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
2015-01-13  0.058405  0.020000  0.044807 -0.005489 -0.004921
...              ...       ...       ...       ...       ...
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000
2016-01-11  0.010593 -0.007722 -0.014337 -0.007103  0.006168

[252 rows x 5 columns]"
2016-01-11,MWG,8.31,8.37,8.14,8.25,96610,-0.01114268456329981,9.083432126902489,8.323567873097511,47.465452352302314,-129.73754908038856,33.379197035588504,8.613333333333333,8.456333333333333,-1.4336917562723928,-0.38925095973573187,"[[6.87025239e-04 2.40212505e-04 1.19867639e-04 3.57096797e-04
  7.13262042e-05]
 [2.40212505e-04 2.32863621e-04 6.91297263e-05 1.74197828e-04
  2.53844351e-05]
 [1.19867639e-04 6.91297263e-05 4.77938523e-04 1.25682255e-04
  6.44525382e-05]
 [3.57096797e-04 1.74197828e-04 1.25682255e-04 4.94645529e-04
  1.27168168e-04]
 [7.13262042e-05 2.53844351e-05 6.44525382e-05 1.27168168e-04
  1.71583690e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
2015-01-13  0.058405  0.020000  0.044807 -0.005489 -0.004921
...              ...       ...       ...       ...       ...
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000
2016-01-11  0.010593 -0.007722 -0.014337 -0.007103  0.006168

[252 rows x 5 columns]"
2016-01-11,VCB,12.67,12.73,12.55,12.58,742390,-0.10717038352631647,13.348105252167608,12.33989474783239,44.396081348112546,-62.12424849699441,18.66490455522278,12.764999999999999,13.429333333333334,-0.710339384372527,-0.38925095973573187,"[[6.87025239e-04 2.40212505e-04 1.19867639e-04 3.57096797e-04
  7.13262042e-05]
 [2.40212505e-04 2.32863621e-04 6.91297263e-05 1.74197828e-04
  2.53844351e-05]
 [1.19867639e-04 6.91297263e-05 4.77938523e-04 1.25682255e-04
  6.44525382e-05]
 [3.57096797e-04 1.74197828e-04 1.25682255e-04 4.94645529e-04
  1.27168168e-04]
 [7.13262042e-05 2.53844351e-05 6.44525382e-05 1.27168168e-04
  1.71583690e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
2015-01-13  0.058405  0.020000  0.044807 -0.005489 -0.004921
...              ...       ...       ...       ...       ...
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000
2016-01-11  0.010593 -0.007722 -0.014337 -0.007103  0.006168

[252 rows x 5 columns]"
2016-01-11,VIC,12.97,13.26,12.86,13.05,1591300,0.40358359777850517,13.49366726390431,10.360332736095689,67.11635543231353,165.2427589081055,58.24056026131459,11.756666666666668,11.825166666666666,0.6168080185042335,-0.38925095973573187,"[[6.87025239e-04 2.40212505e-04 1.19867639e-04 3.57096797e-04
  7.13262042e-05]
 [2.40212505e-04 2.32863621e-04 6.91297263e-05 1.74197828e-04
  2.53844351e-05]
 [1.19867639e-04 6.91297263e-05 4.77938523e-04 1.25682255e-04
  6.44525382e-05]
 [3.57096797e-04 1.74197828e-04 1.25682255e-04 4.94645529e-04
  1.27168168e-04]
 [7.13262042e-05 2.53844351e-05 6.44525382e-05 1.27168168e-04
  1.71583690e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-07  0.030100  0.008475 -0.018672 -0.011011 -0.001949
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
2015-01-13  0.058405  0.020000  0.044807 -0.005489 -0.004921
...              ...       ...       ...       ...       ...
2016-01-05 -0.004931 -0.003788  0.000000 -0.016191  0.000000
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000
2016-01-11  0.010593 -0.007722 -0.014337 -0.007103  0.006168

[252 rows x 5 columns]"
2016-01-12,BID,9.54,9.69,9.54,9.69,615630,-0.2994281770525422,10.909570096266243,9.462429903733756,39.005050674698346,-174.28323735215866,44.088196906057135,10.246666666666666,11.007333333333333,1.572327044025168,1.145428146342331,"[[6.84648715e-04 2.40136803e-04 1.22713232e-04 3.59422488e-04
  7.12711194e-05]
 [2.40136803e-04 2.33516176e-04 7.06090708e-05 1.75662041e-04
  2.50487836e-05]
 [1.22713232e-04 7.06090708e-05 4.77475691e-04 1.25844972e-04
  6.38105459e-05]
 [3.59422488e-04 1.75662041e-04 1.25844972e-04 4.95320061e-04
  1.26513397e-04]
 [7.12711194e-05 2.50487836e-05 6.38105459e-05 1.26513397e-04
  1.71752632e-04]]","tic              BID       MBB       MWG       VCB       VIC
date                                                        
2015-01-08  0.000000  0.008403  0.009514  0.029352  0.006836
2015-01-09  0.066558  0.050000  0.018848  0.066863 -0.004850
2015-01-12  0.068493 -0.007937  0.009250  0.007373 -0.009747
2015-01-13  0.058405  0.020000  0.044807 -0.005489 -0.004921
2015-01-14 -0.005384 -0.011765  0.035088  0.011040  0.000000
...              ...       ...       ...       ...       ...
2016-01-06  0.004955  0.003802 -0.005675  0.011755  0.000000
2016-01-07 -0.044379 -0.011364 -0.031963 -0.011619  0.010912
2016-01-08 -0.025800 -0.007663 -0.012972 -0.007053  0.000000
2016-01-11  0.010593 -0.007722 -0.014337 -0.007103  0.006168
2016-01-12  0.015723  0.015564  0.014545  0.019078 -0.006130

[252 rows x 5 columns]"
